,index,주소,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합,lat,lng
189,452,서울특별시 노원구 하계1동,1297,2622,360,1801,1657,4423,37.6405557,127.0725689
190,453,서울특별시 노원구 하계2동,610,1967,256,1284,866,3251,37.6320006,127.0679316
191,454,서울특별시 노원구 하계동,18273,16898,9579,8943,27852,25841,37.637576,127.0725939
192,455,서울특별시 도봉구 도봉1동,960,1733,297,989,1257,2722,37.6786055,127.0433486
193,456,서울특별시 도봉구 도봉2동,6626,4520,4353,2916,10979,7436,37.6695786,127.0464596
194,457,서울특별시 도봉구 도봉동,5761,10062,2851,5881,8612,15943,37.6837277,127.0318174
195,458,서울특별시 도봉구 방학1동,1823,4136,865,2356,2688,6492,37.6641352,127.0406833
196,459,서울특별시 도봉구 방학2동,1377,4855,492,2795,1869,7650,37.6683016,127.0350997
197,460,서울특별시 도봉구 방학3동,886,3175,240,2285,1126,5460,37.6591356,127.0279067
198,461,서울특별시 도봉구 방학동,12632,27858,5791,18392,18423,46250,37.6641352,127.0406833
199,462,서울특별시 도봉구 쌍문1동,2042,7257,1089,5139,3131,12396,37.6479979,127.0260462
200,463,서울특별시 도봉구 쌍문2동,1442,4049,580,2784,2022,6833,37.6579969,127.0388217
201,464,서울특별시 도봉구 쌍문3동,204,714,113,402,317,1116,37.6488868,127.027851
202,465,서울특별시 도봉구 쌍문4동,1484,5228,596,3481,2080,8709,37.6564409,127.0284897
203,466,서울특별시 도봉구 쌍문동,36940,25399,22180,15554,59120,40953,37.6522545,127.0304855
204,467,서울특별시 도봉구 창1동,250,1029,140,591,390,1620,37.6483312,127.0437665
205,468,서울특별시 도봉구 창2동,842,3330,339,2273,1181,5603,37.6412489,127.0354345
206,469,서울특별시 도봉구 창3동,45,325,36,253,81,578,37.6379994,127.0428778
207,470,서울특별시 도봉구 창4동,10313,8011,6261,4650,16574,12661,37.6521919,127.0515706
208,471,서울특별시 도봉구 창5동,1494,5296,840,3937,2334,9233,37.6519147,127.0390998
209,472,서울특별시 도봉구 창동,20034,28083,11398,16423,31432,44506,37.648965,127.0433646
210,473,서울특별시 동대문구 답십리1동,2299,4209,1179,2447,3478,6656,37.5716467,127.0515179
211,474,서울특별시 동대문구 답십리2동,4267,8166,2314,4963,6581,13129,37.5720638,127.0594611
212,475,서울특별시 동대문구 답십리동,4203,7179,2246,4451,6449,11630,37.5696589,127.0576058
213,476,서울특별시 동대문구 신설동,2418,2623,1447,1654,3865,4277,37.5748653,127.0254662
214,477,서울특별시 동대문구 용두동,12797,15490,6912,9995,19709,25485,37.5757009,127.034989
215,478,서울특별시 동대문구 용신동,13116,10845,8464,7335,21580,18180,37.5762288,127.0302138
216,479,서울특별시 동대문구 이문1동,2760,5821,819,2782,3579,8603,37.594477,127.0565167
217,480,서울특별시 동대문구 이문2동,2288,2409,1750,1643,4038,4052,37.6032541,127.0650987
218,481,서울특별시 동대문구 이문동,4994,8808,2238,5593,7232,14401,37.6004162,127.0655265
219,482,서울특별시 동대문구 장안1동,1298,2785,606,1735,1904,4520,37.5677585,127.0663775
220,483,서울특별시 동대문구 장안2동,3478,5140,1280,3540,4758,8680,37.5783962,127.0705438
221,484,서울특별시 동대문구 장안동,27168,27331,14853,17042,42021,44373,37.570627,127.0706515
